step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
0,0.000,322.8,-136947.344,9.098,10.352,2,0,5.825
50,0.050,383.7,-136948.875,9.070,10.381,2,0,5.928
100,0.100,388.8,-136949.156,9.109,10.370,2,0,5.705
150,0.150,377.4,-136949.188,9.012,10.246,2,0,5.863
200,0.200,376.0,-136949.234,9.083,10.347,2,0,5.863
250,0.250,362.5,-136949.062,9.228,10.467,2,0,5.718
300,0.300,345.2,-136948.516,9.387,10.640,2,0,5.533
350,0.350,348.2,-136948.844,9.608,10.862,2,0,5.459
400,0.400,349.6,-136949.328,9.692,10.951,2,0,5.338
450,0.450,352.5,-136949.812,9.827,11.137,2,0,5.385
500,0.500,365.7,-136950.641,9.983,11.335,2,0,5.385
550,0.550,314.6,-136949.641,9.951,11.352,2,0,5.492
600,0.600,334.8,-136950.219,9.971,11.378,2,0,5.570
650,0.650,321.6,-136949.312,10.061,11.400,2,0,5.410
700,0.700,315.3,-136949.844,9.977,11.324,2,0,5.365
750,0.750,327.3,-136950.734,10.077,11.346,2,0,5.214
800,0.800,333.2,-136950.578,10.025,11.320,2,0,5.424
850,0.850,301.4,-136950.219,9.933,11.243,2,0,5.526
900,0.900,315.8,-136950.719,9.878,11.175,2,0,5.537
950,0.950,319.1,-136951.047,9.816,11.124,2,0,5.655
1000,1.000,303.8,-136951.125,9.693,10.965,2,0,5.704
1050,1.050,295.8,-136950.781,9.683,10.967,2,0,5.718
1100,1.100,311.4,-136951.219,9.628,10.945,2,0,5.856
1150,1.150,311.6,-136950.812,9.655,10.946,2,0,5.696
1200,1.200,301.8,-136950.656,9.574,10.938,2,0,5.804
1250,1.250,302.3,-136951.047,9.564,10.894,2,0,5.779
1300,1.300,310.1,-136951.516,9.515,10.874,2,0,5.780
1350,1.350,299.1,-136950.844,9.493,10.852,2,0,5.831
1400,1.400,314.7,-136951.250,9.409,10.752,2,0,5.842
1450,1.450,296.8,-136950.969,9.433,10.737,2,0,5.558
1500,1.500,308.3,-136951.391,9.450,10.736,2,0,5.423
1550,1.550,297.9,-136951.594,9.354,10.658,2,0,5.481
1600,1.600,301.4,-136951.297,9.462,10.743,2,0,5.372
1650,1.650,307.6,-136951.844,9.432,10.690,2,0,5.329
1700,1.700,319.7,-136952.188,9.306,10.600,2,0,5.558
1750,1.750,287.6,-136951.234,9.417,10.681,2,0,5.496
1800,1.800,294.2,-136951.484,9.440,10.710,2,0,5.582
1850,1.850,295.6,-136951.469,9.449,10.727,2,0,5.571
1900,1.900,302.4,-136951.656,9.475,10.756,2,0,5.610
1950,1.950,321.8,-136951.891,9.415,10.742,2,0,5.808
2000,2.000,327.5,-136952.047,9.452,10.776,2,0,5.810
2050,2.050,306.7,-136951.656,9.444,10.866,2,0,5.895
2100,2.100,311.8,-136951.016,9.435,10.817,2,0,5.831
2150,2.150,310.6,-136951.297,9.471,10.845,2,0,5.754
2200,2.200,304.8,-136951.719,9.462,10.872,2,0,6.052
2250,2.250,298.9,-136951.344,9.479,10.830,2,0,6.126
2300,2.300,284.7,-136951.062,9.410,10.734,2,0,6.201
2350,2.350,320.2,-136952.156,9.492,10.813,2,0,6.185
2400,2.400,303.9,-136951.688,9.579,10.830,2,0,5.966
2450,2.450,285.3,-136951.469,9.518,10.747,2,0,6.048
2500,2.500,282.1,-136951.156,9.562,10.743,2,0,6.077
2550,2.550,295.1,-136951.625,9.370,10.551,2,0,6.255
2600,2.600,288.2,-136951.344,9.301,10.472,2,0,6.291
2650,2.650,302.2,-136951.812,9.349,10.624,2,0,6.551
2700,2.700,302.2,-136951.703,9.294,10.527,2,0,6.683
2750,2.750,281.3,-136951.281,9.306,10.500,2,0,6.702
2800,2.800,306.9,-136952.094,9.190,10.412,2,0,6.841
2850,2.850,280.5,-136950.891,9.111,10.316,2,0,6.975
2900,2.900,291.1,-136951.062,9.048,10.302,2,0,7.125
2950,2.950,286.8,-136951.297,8.945,10.224,2,0,7.077
3000,3.000,300.6,-136951.891,8.813,10.141,2,0,7.195
3050,3.050,308.5,-136952.188,8.865,10.187,2,0,7.212
3100,3.100,283.4,-136951.281,8.957,10.263,2,0,7.089
3150,3.150,292.7,-136951.438,8.975,10.281,2,0,7.096
3200,3.200,294.4,-136951.750,9.090,10.383,2,0,6.952
3250,3.250,298.2,-136951.750,9.056,10.346,2,0,6.979
3300,3.300,332.6,-136951.797,9.151,10.406,2,0,6.918
3350,3.350,308.4,-136950.938,9.312,10.549,2,0,6.870
3400,3.400,317.5,-136950.922,9.249,10.481,2,0,6.876
3450,3.450,325.0,-136951.516,9.280,10.547,2,0,6.866
3500,3.500,312.0,-136951.328,9.336,10.631,2,0,6.869
3550,3.550,313.3,-136951.359,9.281,10.628,2,0,6.867
3600,3.600,336.5,-136952.203,9.493,10.883,2,0,6.733
3650,3.650,313.4,-136951.641,9.558,10.973,2,0,6.665
3700,3.700,337.3,-136952.531,9.536,10.949,2,0,6.674
3750,3.750,303.9,-136951.812,9.499,10.922,2,0,6.719
3800,3.800,322.6,-136952.641,9.329,10.808,2,0,6.780
3850,3.850,281.7,-136952.344,9.293,10.717,2,0,6.656
3900,3.900,294.0,-136952.672,9.296,10.700,2,0,6.615
3950,3.950,269.3,-136952.359,9.298,10.757,2,0,6.675
4000,4.000,261.1,-136952.375,9.302,10.783,2,0,6.698
4050,4.050,290.2,-136953.031,9.266,10.793,2,0,6.742
4100,4.100,276.7,-136952.828,9.295,10.895,2,0,6.887
4150,4.150,289.3,-136952.453,9.270,10.834,2,0,6.715
4200,4.200,287.0,-136952.406,9.159,10.749,2,0,6.769
4250,4.250,273.3,-136952.125,9.135,10.755,2,0,6.702
4300,4.300,284.9,-136951.922,8.883,10.574,2,0,6.856
4350,4.350,298.0,-136952.109,8.960,10.600,2,0,6.817
4400,4.400,304.6,-136952.047,8.945,10.704,2,0,6.892
4450,4.450,300.9,-136951.656,8.964,10.715,2,0,6.976
4500,4.500,317.5,-136952.062,9.039,10.913,2,0,7.003
4550,4.550,306.0,-136951.938,9.072,11.146,2,0,7.292
4600,4.600,326.0,-136952.688,9.141,11.173,2,0,7.202
4650,4.650,294.8,-136952.219,9.169,11.290,2,0,7.308
4700,4.700,301.7,-136952.500,9.167,11.330,2,0,7.356
4750,4.750,282.8,-136952.062,9.089,11.236,2,0,7.368
4800,4.800,283.5,-136952.250,9.086,11.281,2,0,7.539
4850,4.850,299.3,-136952.734,8.966,11.130,2,0,7.524
4900,4.900,313.4,-136952.719,9.127,11.265,2,0,7.361
4950,4.950,306.8,-136952.906,9.184,11.417,2,0,7.427
5000,5.000,296.0,-136952.578,9.181,11.325,2,0,7.160
5000,5.000,296.0,-136952.578,9.181,11.325,2,0,7.160
5050,5.050,284.2,-136952.812,9.345,11.519,2,0,7.184
5100,5.100,277.7,-136952.281,9.312,11.460,2,0,7.008
5150,5.150,300.0,-136952.719,9.355,11.421,2,0,6.944
5200,5.200,298.4,-136952.359,9.378,11.448,2,0,6.988
5250,5.250,287.0,-136952.375,9.478,11.554,2,0,6.938
5300,5.300,320.8,-136953.516,9.526,11.629,2,0,6.923
5350,5.350,277.3,-136952.219,9.557,11.691,2,0,6.839
5400,5.400,289.1,-136952.328,9.735,11.906,2,0,6.682
5450,5.450,304.4,-136952.469,9.581,11.688,2,0,6.698
5500,5.500,323.9,-136952.797,9.489,11.481,2,0,6.678
5550,5.550,288.1,-136952.312,9.570,11.543,2,0,6.710
5600,5.600,298.2,-136952.703,9.632,11.485,2,0,6.273
5650,5.650,292.8,-136952.594,9.836,11.591,2,0,6.068
5700,5.700,280.1,-136952.125,9.894,11.680,2,0,6.065
5750,5.750,310.7,-136952.828,9.870,11.715,2,0,6.189
5800,5.800,310.8,-136952.172,9.758,11.616,2,0,6.276
5850,5.850,292.4,-136951.906,9.592,11.532,2,0,6.444
5900,5.900,312.9,-136952.484,9.541,11.501,2,0,6.503
5950,5.950,285.5,-136951.906,9.511,11.525,2,0,6.658
6000,6.000,303.4,-136952.469,9.605,11.636,2,0,6.711
6050,6.050,300.9,-136952.719,9.858,11.876,2,0,6.704
6100,6.100,299.6,-136952.656,9.883,11.920,2,0,6.734
6150,6.150,317.9,-136952.938,9.958,11.910,2,0,6.600
6200,6.200,306.8,-136952.500,10.046,12.007,2,0,6.491
6250,6.250,287.5,-136952.328,10.087,11.985,2,0,6.362
6300,6.300,319.2,-136953.312,10.137,12.047,2,0,6.429
6350,6.350,305.1,-136952.859,10.162,12.079,2,0,6.518
6400,6.400,307.8,-136952.672,10.201,12.047,2,0,6.415
6450,6.450,317.3,-136953.109,10.302,12.125,2,0,6.421
6500,6.500,310.0,-136952.781,10.319,12.110,2,0,6.365
6550,6.550,298.1,-136952.812,10.158,11.950,2,0,6.217
6600,6.600,281.7,-136952.188,10.071,11.860,2,0,6.252
6650,6.650,304.1,-136952.953,10.015,11.681,2,0,6.010
6700,6.700,297.4,-136952.969,9.996,11.669,2,0,6.020
6750,6.750,297.3,-136953.234,10.061,11.685,2,0,5.997
6800,6.800,275.5,-136952.547,9.902,11.497,2,0,6.049
6850,6.850,308.0,-136953.094,9.969,11.567,2,0,5.975
6900,6.900,308.7,-136952.922,9.998,11.669,2,0,6.050
6950,6.950,288.4,-136952.109,10.042,11.756,2,0,6.210
7000,7.000,313.3,-136952.781,10.242,12.042,2,0,6.301
7050,7.050,309.3,-136952.328,10.347,12.157,2,0,6.339
7100,7.100,302.5,-136952.469,10.372,12.206,2,0,6.356
7150,7.150,302.1,-136952.469,10.382,12.185,2,0,6.248
7200,7.200,298.4,-136952.484,10.428,12.165,2,0,6.117
7250,7.250,278.8,-136952.016,10.536,12.209,2,0,5.965
7300,7.300,307.6,-136952.844,10.563,12.210,2,0,5.929
7350,7.350,289.1,-136952.469,10.606,12.223,2,0,5.842
7400,7.400,287.9,-136952.531,10.552,12.204,2,0,5.849
7450,7.450,292.7,-136952.500,10.533,12.188,2,0,5.944
7500,7.500,305.7,-136952.688,10.466,12.165,2,0,6.029
7550,7.550,307.9,-136952.781,10.430,12.161,2,0,5.972
7600,7.600,285.6,-136952.594,10.358,12.141,2,0,6.075
7650,7.650,290.0,-136952.828,10.223,12.102,2,0,6.304
7700,7.700,290.9,-136953.156,10.223,12.092,2,0,6.327
7750,7.750,273.2,-136952.625,9.997,11.896,2,0,6.497
7800,7.800,284.0,-136952.938,9.935,11.782,2,0,6.373
7850,7.850,278.4,-136952.656,9.984,11.774,2,0,6.295
7900,7.900,307.7,-136953.344,9.863,11.593,2,0,6.302
7950,7.950,283.7,-136952.734,9.977,11.644,2,0,6.058
8000,8.000,319.8,-136953.562,9.930,11.643,2,0,6.044
8050,8.050,306.5,-136953.547,9.889,11.572,2,0,6.000
8100,8.100,286.7,-136952.703,9.840,11.567,2,0,6.041
8150,8.150,278.2,-136952.359,9.683,11.444,2,0,6.068
8200,8.200,296.0,-136952.984,9.754,11.531,2,0,5.977
8250,8.250,293.6,-136952.953,9.724,11.535,2,0,5.919
8300,8.300,287.8,-136952.734,9.668,11.462,2,0,5.862
8350,8.350,298.7,-136952.969,9.665,11.483,2,0,5.945
8400,8.400,306.9,-136953.359,9.371,11.286,2,0,6.221
8450,8.450,325.0,-136953.516,9.380,11.309,2,0,6.205
8500,8.500,298.4,-136953.125,9.247,11.308,2,0,6.434
8550,8.550,296.4,-136953.125,9.037,11.128,2,0,6.579
8600,8.600,286.9,-136952.938,9.066,11.111,2,0,6.532
8650,8.650,292.4,-136952.969,9.031,11.076,2,0,6.564
8700,8.700,286.4,-136952.500,9.011,10.980,2,0,6.480
8750,8.750,309.1,-136952.734,9.033,10.961,2,0,6.338
8800,8.800,297.0,-136952.453,9.070,10.959,2,0,6.154
8850,8.850,313.4,-136953.109,9.293,11.143,2,0,5.986
8900,8.900,309.1,-136953.031,9.146,11.020,2,0,6.156
8950,8.950,280.7,-136952.469,9.147,10.929,2,0,6.152
9000,9.000,275.1,-136952.500,9.100,10.926,2,0,6.216
9050,9.050,295.5,-136953.062,9.146,11.006,2,0,6.167
9100,9.100,286.7,-136952.906,9.301,11.202,2,0,6.107
9150,9.150,318.0,-136953.391,9.272,11.203,2,0,6.156
9200,9.200,298.3,-136952.703,9.425,11.280,2,0,6.073
9250,9.250,299.0,-136953.094,9.494,11.295,2,0,6.048
9300,9.300,294.5,-136953.203,9.523,11.250,2,0,5.984
9350,9.350,271.6,-136952.719,9.523,11.179,2,0,5.962
9400,9.400,267.0,-136952.453,9.526,11.221,2,0,6.076
9450,9.450,310.1,-136953.141,9.650,11.270,2,0,5.876
9500,9.500,319.2,-136953.344,9.746,11.357,2,0,5.751
9550,9.550,303.2,-136952.875,9.944,11.549,2,0,5.521
9600,9.600,299.7,-136952.828,9.884,11.501,2,0,5.619
9650,9.650,302.2,-136952.844,9.748,11.425,2,0,5.768
9700,9.700,303.1,-136952.891,9.670,11.444,2,0,5.861
9750,9.750,336.8,-136953.484,9.544,11.319,2,0,5.858
9800,9.800,316.3,-136953.078,9.567,11.382,2,0,5.858
9850,9.850,322.9,-136953.125,9.492,11.387,2,0,6.106
9900,9.900,307.4,-136953.031,9.467,11.342,2,0,6.176
9950,9.950,283.3,-136952.578,9.369,11.292,2,0,6.326
10000,10.000,309.0,-136953.078,9.234,11.137,2,0,6.363
10000,10.000,309.0,-136953.078,9.234,11.137,2,0,6.363
10050,10.050,327.5,-136953.859,9.204,11.076,2,0,6.218
10100,10.100,308.0,-136953.156,8.931,10.822,2,0,6.428
10150,10.150,299.2,-136952.859,8.795,10.647,2,0,6.559
10200,10.200,294.6,-136952.609,8.903,10.754,2,0,6.576
10250,10.250,297.6,-136952.781,9.055,10.889,2,0,6.489
10300,10.300,292.0,-136953.000,9.388,11.137,2,0,6.301
10350,10.350,308.0,-136952.938,9.585,11.397,2,0,6.142
10400,10.400,290.1,-136952.188,9.696,11.448,2,0,6.086
10450,10.450,340.9,-136953.078,9.589,11.327,2,0,6.106
10500,10.500,305.8,-136952.422,9.728,11.491,2,0,6.067
10550,10.550,312.6,-136952.531,9.624,11.398,2,0,6.283
10600,10.600,304.8,-136952.547,9.483,11.356,2,0,6.466
10650,10.650,315.9,-136953.141,9.303,11.260,2,0,6.716
10700,10.700,299.4,-136952.391,9.265,11.224,2,0,6.810
10750,10.750,284.0,-136952.406,9.156,11.107,2,0,7.038
10800,10.800,312.6,-136952.891,8.950,10.893,2,0,7.146
10850,10.850,304.6,-136952.125,9.119,10.981,2,0,6.800
10900,10.900,302.9,-136952.453,9.076,10.921,2,0,6.676
10950,10.950,284.1,-136951.516,9.169,10.966,2,0,6.448
11000,11.000,331.3,-136952.594,9.191,11.027,2,0,6.628
11050,11.050,304.0,-136952.281,9.015,10.942,2,0,6.784
11100,11.100,340.6,-136953.234,9.074,11.024,2,0,6.723
11150,11.150,296.5,-136952.109,8.953,10.980,2,0,6.946
11200,11.200,318.7,-136952.547,9.029,10.999,2,0,6.844
11250,11.250,326.7,-136952.969,8.927,10.990,2,0,7.010
11300,11.300,316.4,-136952.328,9.142,11.213,2,0,6.935
11350,11.350,324.6,-136952.562,9.202,11.276,2,0,7.002
11400,11.400,301.6,-136952.109,9.113,11.203,2,0,7.070
11450,11.450,318.0,-136953.109,9.262,11.290,2,0,6.895
11500,11.500,307.2,-136952.641,9.182,11.182,2,0,6.834
11550,11.550,301.0,-136952.375,9.048,11.037,2,0,6.766
11600,11.600,323.1,-136952.766,9.157,11.127,2,0,6.655
11650,11.650,298.2,-136952.031,9.097,11.064,2,0,6.613
11700,11.700,326.7,-136952.578,9.180,11.071,2,0,6.449
11750,11.750,319.6,-136952.266,9.292,11.184,2,0,6.482
11800,11.800,320.5,-136952.750,9.305,11.166,2,0,6.391
11850,11.850,334.1,-136953.125,9.282,11.068,2,0,6.406
11900,11.900,317.7,-136952.609,9.341,11.058,2,0,6.291
11950,11.950,315.8,-136952.984,9.459,11.137,2,0,6.345
12000,12.000,296.9,-136952.672,9.433,11.090,2,0,6.334
12050,12.050,326.5,-136953.344,9.611,11.262,2,0,6.356
12100,12.100,325.2,-136953.219,9.652,11.339,2,0,6.381
12150,12.150,329.9,-136953.016,9.557,11.247,2,0,6.392
12200,12.200,343.1,-136953.500,9.518,11.250,2,0,6.446
12250,12.250,332.7,-136952.641,9.413,11.268,2,0,6.580
12300,12.300,328.6,-136952.703,9.338,11.143,2,0,6.405
12350,12.350,311.9,-136952.406,9.360,11.183,2,0,6.328
12400,12.400,340.8,-136952.969,9.404,11.205,2,0,6.369
12450,12.450,319.9,-136952.609,9.399,11.149,2,0,6.336
12500,12.500,318.2,-136952.406,9.500,11.283,2,0,6.434
12550,12.550,307.3,-136952.297,9.626,11.390,2,0,6.344
12600,12.600,317.9,-136952.891,9.618,11.368,2,0,6.296
12650,12.650,320.3,-136953.094,9.562,11.320,2,0,6.331
12700,12.700,320.1,-136953.391,9.515,11.232,2,0,6.439
12750,12.750,311.8,-136952.984,9.422,11.167,2,0,6.435
12800,12.800,298.4,-136952.516,9.314,11.064,2,0,6.542
12850,12.850,298.7,-136952.547,9.338,11.020,2,0,6.497
12900,12.900,301.9,-136952.594,9.352,11.089,2,0,6.626
12950,12.950,308.4,-136952.359,9.446,11.132,2,0,6.626
13000,13.000,311.8,-136952.391,9.375,10.961,2,0,6.513
13050,13.050,318.1,-136952.938,9.422,11.016,2,0,6.479
13100,13.100,320.5,-136953.062,9.368,10.902,2,0,6.437
13150,13.150,293.8,-136952.391,9.171,10.669,2,0,6.416
13200,13.200,300.2,-136952.656,9.144,10.725,2,0,6.611
13250,13.250,289.3,-136952.672,9.190,10.658,2,0,6.381
13300,13.300,301.1,-136952.484,9.133,10.620,2,0,6.493
13350,13.350,287.7,-136952.312,9.182,10.702,2,0,6.575
13400,13.400,285.0,-136952.203,9.085,10.594,2,0,6.474
13450,13.450,298.2,-136952.453,8.912,10.486,2,0,6.630
13500,13.500,310.0,-136952.859,8.811,10.425,2,0,6.715
13550,13.550,307.1,-136952.734,8.758,10.295,2,0,6.752
13600,13.600,312.5,-136953.672,8.774,10.295,2,0,6.708
13650,13.650,319.0,-136953.969,8.726,10.274,2,0,6.769
13700,13.700,305.5,-136953.016,8.801,10.292,2,0,6.658
13750,13.750,297.3,-136952.734,8.856,10.295,2,0,6.469
13800,13.800,303.4,-136952.578,8.803,10.175,2,0,6.336
13850,13.850,302.2,-136953.016,8.841,10.150,2,0,6.364
13900,13.900,306.5,-136952.766,8.864,10.251,2,0,6.478
13950,13.950,322.0,-136953.156,8.906,10.265,2,0,6.526
14000,14.000,303.3,-136952.734,8.896,10.245,2,0,6.530
14050,14.050,297.4,-136952.891,8.882,10.296,2,0,6.691
14100,14.100,304.0,-136953.125,8.835,10.308,2,0,6.729
14150,14.150,281.3,-136953.000,8.794,10.303,2,0,6.733
14200,14.200,278.1,-136953.000,8.748,10.260,2,0,6.773
14250,14.250,292.2,-136953.359,8.746,10.215,2,0,6.731
14300,14.300,285.9,-136953.094,8.742,10.165,2,0,6.699
14350,14.350,297.9,-136953.766,8.715,10.113,2,0,6.656
14400,14.400,297.7,-136953.609,8.769,10.164,2,0,6.683
14450,14.450,275.4,-136953.531,8.685,10.121,2,0,6.721
14500,14.500,273.5,-136953.531,8.744,10.219,2,0,6.610
14550,14.550,288.5,-136953.188,8.780,10.287,2,0,6.481
14600,14.600,316.5,-136953.359,8.915,10.415,2,0,6.357
14650,14.650,290.5,-136952.859,9.068,10.579,2,0,6.301
14700,14.700,287.1,-136952.688,9.074,10.591,2,0,6.295
14750,14.750,314.0,-136953.672,9.143,10.608,2,0,6.269
14800,14.800,297.3,-136953.125,9.008,10.467,2,0,6.344
14850,14.850,324.0,-136953.688,9.022,10.450,2,0,6.326
14900,14.900,296.4,-136952.484,9.026,10.425,2,0,6.318
14950,14.950,324.2,-136953.359,8.986,10.375,2,0,6.375
15000,15.000,307.6,-136952.953,9.069,10.476,2,0,6.401
15000,15.000,307.6,-136952.953,9.069,10.476,2,0,6.401
15050,15.050,300.5,-136953.062,9.057,10.521,2,0,6.555
15100,15.100,288.6,-136953.000,9.208,10.635,2,0,6.392
15150,15.150,294.5,-136952.859,9.111,10.554,2,0,6.470
15200,15.200,311.8,-136953.391,9.156,10.530,2,0,6.414
15250,15.250,316.8,-136953.547,9.105,10.424,2,0,6.422
15300,15.300,326.2,-136953.312,9.085,10.400,2,0,6.359
15350,15.350,282.8,-136952.125,9.105,10.383,2,0,6.364
15400,15.400,294.1,-136952.922,8.964,10.288,2,0,6.581
15450,15.450,291.7,-136953.109,8.885,10.269,2,0,6.785
15500,15.500,281.9,-136952.859,8.860,10.238,2,0,6.764
15550,15.550,274.1,-136952.875,8.934,10.337,2,0,6.805
15600,15.600,284.5,-136953.016,9.087,10.492,2,0,6.645
15650,15.650,297.9,-136953.391,9.251,10.609,2,0,6.743
15700,15.700,302.1,-136953.234,9.234,10.611,2,0,6.799
15750,15.750,314.9,-136953.312,9.361,10.608,2,0,6.676
15800,15.800,287.3,-136952.844,9.394,10.592,2,0,6.523
15850,15.850,308.5,-136953.031,9.340,10.524,2,0,6.420
15900,15.900,312.1,-136953.047,9.323,10.471,2,0,6.380
15950,15.950,307.7,-136952.922,9.503,10.661,2,0,6.352
16000,16.000,291.3,-136953.047,9.488,10.662,2,0,6.455
16050,16.050,289.2,-136952.750,9.528,10.652,2,0,6.200
16100,16.100,303.9,-136952.859,9.410,10.639,2,0,6.473
16150,16.150,309.7,-136952.781,9.293,10.486,2,0,6.415
16200,16.200,331.7,-136953.234,9.210,10.402,2,0,6.448
16250,16.250,324.5,-136952.875,9.198,10.343,2,0,6.269
16300,16.300,314.9,-136952.969,9.247,10.365,2,0,6.063
16350,16.350,345.6,-136953.656,9.346,10.470,2,0,6.078
16400,16.400,299.9,-136952.391,9.424,10.574,2,0,6.060
16450,16.450,309.1,-136952.375,9.358,10.515,2,0,6.102
16500,16.500,310.1,-136952.172,9.251,10.413,2,0,6.184
16550,16.550,339.9,-136952.969,9.252,10.407,2,0,6.044
16600,16.600,299.8,-136952.141,9.304,10.533,2,0,6.154
16650,16.650,300.1,-136952.500,9.255,10.501,2,0,6.229
