E_minus_Ef_eV,totalDOS,pdos_Cl,pdos_Mg
-15.000,11.77488,8.92103,2.85385
-14.980,11.21156,8.49418,2.71738
-14.960,10.26099,7.77395,2.48704
-14.940,9.02660,6.83869,2.18790
-14.920,7.63251,5.78247,1.85004
-14.900,6.20320,4.69957,1.50363
-14.880,4.84582,3.67118,1.17464
-14.860,3.63846,2.75647,0.88200
-14.840,2.62582,1.98928,0.63654
-14.820,1.82140,1.37985,0.44155
-14.800,1.21433,0.91994,0.29439
-14.780,0.77813,0.58948,0.18865
-14.760,0.47924,0.36305,0.11619
-14.740,0.28368,0.21490,0.06878
-14.720,0.16139,0.12226,0.03913
-14.700,0.08825,0.06685,0.02140
-14.680,0.04638,0.03513,0.01125
-14.660,0.02342,0.01774,0.00568
-14.640,0.01137,0.00861,0.00276
-14.620,0.00531,0.00402,0.00129
-14.600,0.00238,0.00180,0.00058
-14.580,0.00103,0.00078,0.00025
-14.560,0.00042,0.00032,0.00010
-14.540,0.00017,0.00013,0.00004
-14.520,0.00006,0.00005,0.00002
-14.500,0.00002,0.00002,0.00001
-14.480,0.00001,0.00001,0.00000
-14.460,0.00000,0.00000,0.00000
-14.440,0.00000,0.00000,0.00000
-14.420,0.00000,0.00000,0.00000
-14.400,0.00000,0.00000,0.00000
-14.380,0.00000,0.00000,0.00000
-14.360,0.00000,0.00000,0.00000
-14.340,0.00000,0.00000,0.00000
-14.320,0.00000,0.00000,0.00000
-14.300,0.00000,0.00000,0.00000
-14.280,0.00000,0.00000,0.00000
-14.260,0.00000,0.00000,0.00000
-14.240,0.00000,0.00000,0.00000
-14.220,0.00000,0.00000,0.00000
-14.200,0.00000,0.00000,0.00000
-14.180,0.00000,0.00000,0.00000
-14.160,0.00000,0.00000,0.00000
-14.140,0.00000,0.00000,0.00000
-14.120,0.00000,0.00000,0.00000
-14.100,0.00000,0.00000,0.00000
-14.080,0.00000,0.00000,0.00000
-14.060,0.00000,0.00000,0.00000
-14.040,0.00000,0.00000,0.00000
-14.020,0.00000,0.00000,0.00000
-14.000,0.00000,0.00000,0.00000
-13.980,0.00000,0.00000,0.00000
-13.960,0.00000,0.00000,0.00000
-13.940,0.00000,0.00000,0.00000
-13.920,0.00000,0.00000,0.00000
-13.900,0.00000,0.00000,0.00000
-13.880,0.00000,0.00000,0.00000
-13.860,0.00000,0.00000,0.00000
-13.840,0.00000,0.00000,0.00000
-13.820,0.00000,0.00000,0.00000
-13.800,0.00000,0.00000,0.00000
-13.780,0.00000,0.00000,0.00000
-13.760,0.00000,0.00000,0.00000
-13.740,0.00000,0.00000,0.00000
-13.720,0.00000,0.00000,0.00000
-13.700,0.00000,0.00000,0.00000
-13.680,0.00000,0.00000,0.00000
-13.660,0.00000,0.00000,0.00000
-13.640,0.00000,0.00000,0.00000
-13.620,0.00000,0.00000,0.00000
-13.600,0.00000,0.00000,0.00000
-13.580,0.00000,0.00000,0.00000
-13.560,0.00000,0.00000,0.00000
-13.540,0.00000,0.00000,0.00000
-13.520,0.00000,0.00000,0.00000
-13.500,0.00000,0.00000,0.00000
-13.480,0.00000,0.00000,0.00000
-13.460,0.00000,0.00000,0.00000
-13.440,0.00000,0.00000,0.00000
-13.420,0.00000,0.00000,0.00000
-13.400,0.00000,0.00000,0.00000
-13.380,0.00000,0.00000,0.00000
-13.360,0.00000,0.00000,0.00000
-13.340,0.00000,0.00000,0.00000
-13.320,0.00000,0.00000,0.00000
-13.300,0.00000,0.00000,0.00000
-13.280,0.00000,0.00000,0.00000
-13.260,0.00000,0.00000,0.00000
-13.240,0.00000,0.00000,0.00000
-13.220,0.00000,0.00000,0.00000
-13.200,0.00000,0.00000,0.00000
-13.180,0.00000,0.00000,0.00000
-13.160,0.00000,0.00000,0.00000
-13.140,0.00000,0.00000,0.00000
-13.120,0.00000,0.00000,0.00000
-13.100,0.00000,0.00000,0.00000
-13.080,0.00000,0.00000,0.00000
-13.060,0.00000,0.00000,0.00000
-13.040,0.00000,0.00000,0.00000
-13.020,0.00000,0.00000,0.00000
-13.000,0.00000,0.00000,0.00000
-12.980,0.00000,0.00000,0.00000
-12.960,0.00000,0.00000,0.00000
-12.940,0.00000,0.00000,0.00000
-12.920,0.00000,0.00000,0.00000
-12.900,0.00000,0.00000,0.00000
-12.880,0.00000,0.00000,0.00000
-12.860,0.00000,0.00000,0.00000
-12.840,0.00000,0.00000,0.00000
-12.820,0.00000,0.00000,0.00000
-12.800,0.00000,0.00000,0.00000
-12.780,0.00000,0.00000,0.00000
-12.760,0.00000,0.00000,0.00000
-12.740,0.00000,0.00000,0.00000
-12.720,0.00000,0.00000,0.00000
-12.700,0.00000,0.00000,0.00000
-12.680,0.00000,0.00000,0.00000
-12.660,0.00000,0.00000,0.00000
-12.640,0.00000,0.00000,0.00000
-12.620,0.00000,0.00000,0.00000
-12.600,0.00000,0.00000,0.00000
-12.580,0.00000,0.00000,0.00000
-12.560,0.00000,0.00000,0.00000
-12.540,0.00000,0.00000,0.00000
-12.520,0.00000,0.00000,0.00000
-12.500,0.00000,0.00000,0.00000
-12.480,0.00000,0.00000,0.00000
-12.460,0.00000,0.00000,0.00000
-12.440,0.00000,0.00000,0.00000
-12.420,0.00000,0.00000,0.00000
-12.400,0.00000,0.00000,0.00000
-12.380,0.00000,0.00000,0.00000
-12.360,0.00001,0.00001,0.00000
-12.340,0.00002,0.00002,0.00000
-12.320,0.00006,0.00006,0.00000
-12.300,0.00015,0.00015,0.00000
-12.280,0.00037,0.00037,0.00000
-12.260,0.00087,0.00087,0.00000
-12.240,0.00195,0.00195,0.00001
-12.220,0.00421,0.00419,0.00001
-12.200,0.00871,0.00868,0.00003
-12.180,0.01734,0.01729,0.00005
-12.160,0.03323,0.03313,0.00010
-12.140,0.06131,0.06113,0.00018
-12.120,0.10890,0.10858,0.00032
-12.100,0.18636,0.18581,0.00055
-12.080,0.30738,0.30648,0.00090
-12.060,0.48893,0.48751,0.00142
-12.040,0.75051,0.74836,0.00215
-12.020,1.11257,1.10943,0.00314
-12.000,1.59403,1.58961,0.00442
-11.980,2.20913,2.20311,0.00602
-11.960,2.96391,2.95600,0.00791
-11.940,3.85285,3.84281,0.01003
-11.920,4.85620,4.84388,0.01232
-11.900,5.93861,5.92398,0.01464
-11.880,7.04948,7.03263,0.01685
-11.860,8.12525,8.10645,0.01880
-11.840,9.09404,9.07368,0.02036
-11.820,9.88216,9.86077,0.02139
-11.800,10.42239,10.40057,0.02182
-11.780,10.66277,10.64115,0.02162
-11.760,10.57462,10.55383,0.02080
-11.740,10.15820,10.13878,0.01942
-11.720,9.44426,9.42667,0.01759
-11.700,8.49098,8.47553,0.01545
-11.680,7.37623,7.36308,0.01314
-11.660,6.18682,6.17600,0.01082
-11.640,5.00674,4.99812,0.00862
-11.620,3.90683,3.90019,0.00664
-11.600,2.93790,2.93297,0.00493
-11.580,2.12806,2.12452,0.00354
-11.560,1.48418,1.48174,0.00245
-11.540,0.99631,0.99468,0.00163
-11.520,0.64354,0.64250,0.00105
-11.500,0.39988,0.39923,0.00065
-11.480,0.23898,0.23859,0.00039
-11.460,0.13734,0.13712,0.00022
-11.440,0.07589,0.07577,0.00012
-11.420,0.04031,0.04025,0.00006
-11.400,0.02059,0.02055,0.00003
-11.380,0.01010,0.01009,0.00002
-11.360,0.00477,0.00476,0.00001
-11.340,0.00216,0.00216,0.00000
-11.320,0.00094,0.00094,0.00000
-11.300,0.00039,0.00039,0.00000
-11.280,0.00016,0.00016,0.00000
-11.260,0.00006,0.00006,0.00000
-11.240,0.00002,0.00002,0.00000
-11.220,0.00001,0.00001,0.00000
-11.200,0.00000,0.00000,0.00000
-11.180,0.00000,0.00000,0.00000
-11.160,0.00000,0.00000,0.00000
-11.140,0.00000,0.00000,0.00000
-11.120,0.00000,0.00000,0.00000
-11.100,0.00000,0.00000,0.00000
-11.080,0.00000,0.00000,0.00000
-11.060,0.00000,0.00000,0.00000
-11.040,0.00000,0.00000,0.00000
-11.020,0.00000,0.00000,0.00000
-11.000,0.00000,0.00000,0.00000
-10.980,0.00000,0.00000,0.00000
-10.960,0.00000,0.00000,0.00000
-10.940,0.00000,0.00000,0.00000
-10.920,0.00000,0.00000,0.00000
-10.900,0.00000,0.00000,0.00000
-10.880,0.00000,0.00000,0.00000
-10.860,0.00000,0.00000,0.00000
-10.840,0.00000,0.00000,0.00000
-10.820,0.00000,0.00000,0.00000
-10.800,0.00000,0.00000,0.00000
-10.780,0.00000,0.00000,0.00000
-10.760,0.00000,0.00000,0.00000
-10.740,0.00000,0.00000,0.00000
-10.720,0.00000,0.00000,0.00000
-10.700,0.00000,0.00000,0.00000
-10.680,0.00000,0.00000,0.00000
-10.660,0.00000,0.00000,0.00000
-10.640,0.00000,0.00000,0.00000
-10.620,0.00000,0.00000,0.00000
-10.600,0.00000,0.00000,0.00000
-10.580,0.00000,0.00000,0.00000
-10.560,0.00000,0.00000,0.00000
-10.540,0.00000,0.00000,0.00000
-10.520,0.00000,0.00000,0.00000
-10.500,0.00000,0.00000,0.00000
-10.480,0.00000,0.00000,0.00000
-10.460,0.00000,0.00000,0.00000
-10.440,0.00000,0.00000,0.00000
-10.420,0.00000,0.00000,0.00000
-10.400,0.00000,0.00000,0.00000
-10.380,0.00000,0.00000,0.00000
-10.360,0.00000,0.00000,0.00000
-10.340,0.00000,0.00000,0.00000
-10.320,0.00000,0.00000,0.00000
-10.300,0.00000,0.00000,0.00000
-10.280,0.00000,0.00000,0.00000
-10.260,0.00000,0.00000,0.00000
-10.240,0.00000,0.00000,0.00000
-10.220,0.00000,0.00000,0.00000
-10.200,0.00000,0.00000,0.00000
-10.180,0.00000,0.00000,0.00000
-10.160,0.00000,0.00000,0.00000
-10.140,0.00000,0.00000,0.00000
-10.120,0.00000,0.00000,0.00000
-10.100,0.00000,0.00000,0.00000
-10.080,0.00000,0.00000,0.00000
-10.060,0.00000,0.00000,0.00000
-10.040,0.00000,0.00000,0.00000
-10.020,0.00000,0.00000,0.00000
-10.000,0.00000,0.00000,0.00000
-9.980,0.00000,0.00000,0.00000
-9.960,0.00000,0.00000,0.00000
-9.940,0.00000,0.00000,0.00000
-9.920,0.00000,0.00000,0.00000
-9.900,0.00000,0.00000,0.00000
-9.880,0.00000,0.00000,0.00000
-9.860,0.00000,0.00000,0.00000
-9.840,0.00000,0.00000,0.00000
-9.820,0.00000,0.00000,0.00000
-9.800,0.00000,0.00000,0.00000
-9.780,0.00000,0.00000,0.00000
-9.760,0.00000,0.00000,0.00000
-9.740,0.00000,0.00000,0.00000
-9.720,0.00000,0.00000,0.00000
-9.700,0.00000,0.00000,0.00000
-9.680,0.00000,0.00000,0.00000
-9.660,0.00000,0.00000,0.00000
-9.640,0.00000,0.00000,0.00000
-9.620,0.00000,0.00000,0.00000
-9.600,0.00000,0.00000,0.00000
-9.580,0.00000,0.00000,0.00000
-9.560,0.00000,0.00000,0.00000
-9.540,0.00000,0.00000,0.00000
-9.520,0.00000,0.00000,0.00000
-9.500,0.00000,0.00000,0.00000
-9.480,0.00000,0.00000,0.00000
-9.460,0.00000,0.00000,0.00000
-9.440,0.00000,0.00000,0.00000
-9.420,0.00000,0.00000,0.00000
-9.400,0.00000,0.00000,0.00000
-9.380,0.00000,0.00000,0.00000
-9.360,0.00000,0.00000,0.00000
-9.340,0.00000,0.00000,0.00000
-9.320,0.00000,0.00000,0.00000
-9.300,0.00000,0.00000,0.00000
-9.280,0.00000,0.00000,0.00000
-9.260,0.00000,0.00000,0.00000
-9.240,0.00000,0.00000,0.00000
-9.220,0.00000,0.00000,0.00000
-9.200,0.00000,0.00000,0.00000
-9.180,0.00000,0.00000,0.00000
-9.160,0.00000,0.00000,0.00000
-9.140,0.00000,0.00000,0.00000
-9.120,0.00000,0.00000,0.00000
-9.100,0.00000,0.00000,0.00000
-9.080,0.00000,0.00000,0.00000
-9.060,0.00000,0.00000,0.00000
-9.040,0.00000,0.00000,0.00000
-9.020,0.00000,0.00000,0.00000
-9.000,0.00000,0.00000,0.00000
-8.980,0.00000,0.00000,0.00000
-8.960,0.00000,0.00000,0.00000
-8.940,0.00000,0.00000,0.00000
-8.920,0.00000,0.00000,0.00000
-8.900,0.00000,0.00000,0.00000
-8.880,0.00000,0.00000,0.00000
-8.860,0.00000,0.00000,0.00000
-8.840,0.00000,0.00000,0.00000
-8.820,0.00000,0.00000,0.00000
-8.800,0.00000,0.00000,0.00000
-8.780,0.00000,0.00000,0.00000
-8.760,0.00000,0.00000,0.00000
-8.740,0.00000,0.00000,0.00000
-8.720,0.00000,0.00000,0.00000
-8.700,0.00000,0.00000,0.00000
-8.680,0.00000,0.00000,0.00000
-8.660,0.00000,0.00000,0.00000
-8.640,0.00000,0.00000,0.00000
-8.620,0.00000,0.00000,0.00000
-8.600,0.00000,0.00000,0.00000
-8.580,0.00000,0.00000,0.00000
-8.560,0.00000,0.00000,0.00000
-8.540,0.00000,0.00000,0.00000
-8.520,0.00000,0.00000,0.00000
-8.500,0.00000,0.00000,0.00000
-8.480,0.00000,0.00000,0.00000
-8.460,0.00000,0.00000,0.00000
-8.440,0.00000,0.00000,0.00000
-8.420,0.00000,0.00000,0.00000
-8.400,0.00000,0.00000,0.00000
-8.380,0.00000,0.00000,0.00000
-8.360,0.00000,0.00000,0.00000
-8.340,0.00000,0.00000,0.00000
-8.320,0.00000,0.00000,0.00000
-8.300,0.00000,0.00000,0.00000
-8.280,0.00000,0.00000,0.00000
-8.260,0.00000,0.00000,0.00000
-8.240,0.00000,0.00000,0.00000
-8.220,0.00000,0.00000,0.00000
-8.200,0.00000,0.00000,0.00000
-8.180,0.00000,0.00000,0.00000
-8.160,0.00000,0.00000,0.00000
-8.140,0.00000,0.00000,0.00000
-8.120,0.00000,0.00000,0.00000
-8.100,0.00000,0.00000,0.00000
-8.080,0.00000,0.00000,0.00000
-8.060,0.00000,0.00000,0.00000
-8.040,0.00000,0.00000,0.00000
-8.020,0.00000,0.00000,0.00000
-8.000,0.00000,0.00000,0.00000
-7.980,0.00000,0.00000,0.00000
-7.960,0.00000,0.00000,0.00000
-7.940,0.00000,0.00000,0.00000
-7.920,0.00000,0.00000,0.00000
-7.900,0.00000,0.00000,0.00000
-7.880,0.00000,0.00000,0.00000
-7.860,0.00000,0.00000,0.00000
-7.840,0.00000,0.00000,0.00000
-7.820,0.00000,0.00000,0.00000
-7.800,0.00000,0.00000,0.00000
-7.780,0.00000,0.00000,0.00000
-7.760,0.00000,0.00000,0.00000
-7.740,0.00000,0.00000,0.00000
-7.720,0.00000,0.00000,0.00000
-7.700,0.00000,0.00000,0.00000
-7.680,0.00000,0.00000,0.00000
-7.660,0.00000,0.00000,0.00000
-7.640,0.00000,0.00000,0.00000
-7.620,0.00000,0.00000,0.00000
-7.600,0.00000,0.00000,0.00000
-7.580,0.00000,0.00000,0.00000
-7.560,0.00000,0.00000,0.00000
-7.540,0.00000,0.00000,0.00000
-7.520,0.00000,0.00000,0.00000
-7.500,0.00000,0.00000,0.00000
-7.480,0.00000,0.00000,0.00000
-7.460,0.00000,0.00000,0.00000
-7.440,0.00000,0.00000,0.00000
-7.420,0.00000,0.00000,0.00000
-7.400,0.00000,0.00000,0.00000
-7.380,0.00000,0.00000,0.00000
-7.360,0.00000,0.00000,0.00000
-7.340,0.00000,0.00000,0.00000
-7.320,0.00000,0.00000,0.00000
-7.300,0.00000,0.00000,0.00000
-7.280,0.00000,0.00000,0.00000
-7.260,0.00000,0.00000,0.00000
-7.240,0.00000,0.00000,0.00000
-7.220,0.00000,0.00000,0.00000
-7.200,0.00000,0.00000,0.00000
-7.180,0.00000,0.00000,0.00000
-7.160,0.00000,0.00000,0.00000
-7.140,0.00000,0.00000,0.00000
-7.120,0.00000,0.00000,0.00000
-7.100,0.00000,0.00000,0.00000
-7.080,0.00000,0.00000,0.00000
-7.060,0.00000,0.00000,0.00000
-7.040,0.00000,0.00000,0.00000
-7.020,0.00000,0.00000,0.00000
-7.000,0.00000,0.00000,0.00000
-6.980,0.00000,0.00000,0.00000
-6.960,0.00000,0.00000,0.00000
-6.940,0.00000,0.00000,0.00000
-6.920,0.00000,0.00000,0.00000
-6.900,0.00000,0.00000,0.00000
-6.880,0.00000,0.00000,0.00000
-6.860,0.00000,0.00000,0.00000
-6.840,0.00000,0.00000,0.00000
-6.820,0.00000,0.00000,0.00000
-6.800,0.00000,0.00000,0.00000
-6.780,0.00000,0.00000,0.00000
-6.760,0.00000,0.00000,0.00000
-6.740,0.00000,0.00000,0.00000
-6.720,0.00000,0.00000,0.00000
-6.700,0.00000,0.00000,0.00000
-6.680,0.00000,0.00000,0.00000
-6.660,0.00000,0.00000,0.00000
-6.640,0.00000,0.00000,0.00000
-6.620,0.00000,0.00000,0.00000
-6.600,0.00000,0.00000,0.00000
-6.580,0.00000,0.00000,0.00000
-6.560,0.00000,0.00000,0.00000
-6.540,0.00000,0.00000,0.00000
-6.520,0.00000,0.00000,0.00000
-6.500,0.00000,0.00000,0.00000
-6.480,0.00000,0.00000,0.00000
-6.460,0.00000,0.00000,0.00000
-6.440,0.00000,0.00000,0.00000
-6.420,0.00000,0.00000,0.00000
-6.400,0.00000,0.00000,0.00000
-6.380,0.00000,0.00000,0.00000
-6.360,0.00000,0.00000,0.00000
-6.340,0.00000,0.00000,0.00000
-6.320,0.00000,0.00000,0.00000
-6.300,0.00000,0.00000,0.00000
-6.280,0.00000,0.00000,0.00000
-6.260,0.00000,0.00000,0.00000
-6.240,0.00000,0.00000,0.00000
-6.220,0.00000,0.00000,0.00000
-6.200,0.00000,0.00000,0.00000
-6.180,0.00000,0.00000,0.00000
-6.160,0.00000,0.00000,0.00000
-6.140,0.00000,0.00000,0.00000
-6.120,0.00000,0.00000,0.00000
-6.100,0.00000,0.00000,0.00000
-6.080,0.00000,0.00000,0.00000
-6.060,0.00000,0.00000,0.00000
-6.040,0.00000,0.00000,0.00000
-6.020,0.00000,0.00000,0.00000
-6.000,0.00000,0.00000,0.00000
-5.980,0.00000,0.00000,0.00000
-5.960,0.00000,0.00000,0.00000
-5.940,0.00000,0.00000,0.00000
-5.920,0.00000,0.00000,0.00000
-5.900,0.00000,0.00000,0.00000
-5.880,0.00000,0.00000,0.00000
-5.860,0.00000,0.00000,0.00000
-5.840,0.00000,0.00000,0.00000
-5.820,0.00000,0.00000,0.00000
-5.800,0.00000,0.00000,0.00000
-5.780,0.00000,0.00000,0.00000
-5.760,0.00000,0.00000,0.00000
-5.740,0.00000,0.00000,0.00000
-5.720,0.00000,0.00000,0.00000
-5.700,0.00000,0.00000,0.00000
-5.680,0.00000,0.00000,0.00000
-5.660,0.00000,0.00000,0.00000
-5.640,0.00000,0.00000,0.00000
-5.620,0.00000,0.00000,0.00000
-5.600,0.00000,0.00000,0.00000
-5.580,0.00000,0.00000,0.00000
-5.560,0.00000,0.00000,0.00000
-5.540,0.00000,0.00000,0.00000
-5.520,0.00000,0.00000,0.00000
-5.500,0.00000,0.00000,0.00000
-5.480,0.00000,0.00000,0.00000
-5.460,0.00000,0.00000,0.00000
-5.440,0.00000,0.00000,0.00000
-5.420,0.00000,0.00000,0.00000
-5.400,0.00000,0.00000,0.00000
-5.380,0.00000,0.00000,0.00000
-5.360,0.00000,0.00000,0.00000
-5.340,0.00000,0.00000,0.00000
-5.320,0.00000,0.00000,0.00000
-5.300,0.00000,0.00000,0.00000
-5.280,0.00000,0.00000,0.00000
-5.260,0.00000,0.00000,0.00000
-5.240,0.00000,0.00000,0.00000
-5.220,0.00000,0.00000,0.00000
-5.200,0.00000,0.00000,0.00000
-5.180,0.00000,0.00000,0.00000
-5.160,0.00000,0.00000,0.00000
-5.140,0.00000,0.00000,0.00000
-5.120,0.00000,0.00000,0.00000
-5.100,0.00000,0.00000,0.00000
-5.080,0.00000,0.00000,0.00000
-5.060,0.00000,0.00000,0.00000
-5.040,0.00000,0.00000,0.00000
-5.020,0.00000,0.00000,0.00000
-5.000,0.00000,0.00000,0.00000
-4.980,0.00000,0.00000,0.00000
-4.960,0.00000,0.00000,0.00000
-4.940,0.00000,0.00000,0.00000
-4.920,0.00000,0.00000,0.00000
-4.900,0.00000,0.00000,0.00000
-4.880,0.00000,0.00000,0.00000
-4.860,0.00000,0.00000,0.00000
-4.840,0.00000,0.00000,0.00000
-4.820,0.00000,0.00000,0.00000
-4.800,0.00000,0.00000,0.00000
-4.780,0.00000,0.00000,0.00000
-4.760,0.00000,0.00000,0.00000
-4.740,0.00000,0.00000,0.00000
-4.720,0.00000,0.00000,0.00000
-4.700,0.00000,0.00000,0.00000
-4.680,0.00000,0.00000,0.00000
-4.660,0.00000,0.00000,0.00000
-4.640,0.00000,0.00000,0.00000
-4.620,0.00000,0.00000,0.00000
-4.600,0.00000,0.00000,0.00000
-4.580,0.00000,0.00000,0.00000
-4.560,0.00000,0.00000,0.00000
-4.540,0.00000,0.00000,0.00000
-4.520,0.00000,0.00000,0.00000
-4.500,0.00000,0.00000,0.00000
-4.480,0.00000,0.00000,0.00000
-4.460,0.00000,0.00000,0.00000
-4.440,0.00000,0.00000,0.00000
-4.420,0.00000,0.00000,0.00000
-4.400,0.00000,0.00000,0.00000
-4.380,0.00000,0.00000,0.00000
-4.360,0.00000,0.00000,0.00000
-4.340,0.00000,0.00000,0.00000
-4.320,0.00000,0.00000,0.00000
-4.300,0.00000,0.00000,0.00000
-4.280,0.00000,0.00000,0.00000
-4.260,0.00000,0.00000,0.00000
-4.240,0.00001,0.00001,0.00000
-4.220,0.00003,0.00003,0.00000
-4.200,0.00009,0.00009,0.00000
-4.180,0.00024,0.00024,0.00000
-4.160,0.00060,0.00060,0.00000
-4.140,0.00145,0.00145,0.00000
-4.120,0.00339,0.00339,0.00000
-4.100,0.00760,0.00760,0.00000
-4.080,0.01642,0.01641,0.00000
-4.060,0.03408,0.03408,0.00000
-4.040,0.06807,0.06806,0.00001
-4.020,0.13075,0.13073,0.00002
-4.000,0.24160,0.24157,0.00003
-3.980,0.42945,0.42940,0.00006
-3.960,0.73434,0.73425,0.00009
-3.940,1.20801,1.20786,0.00015
-3.920,1.91181,1.91157,0.00024
-3.900,2.91094,2.91058,0.00037
-3.880,4.26435,4.26381,0.00053
-3.860,6.01053,6.00978,0.00075
-3.840,8.15128,8.15027,0.00101
-3.820,10.63657,10.63526,0.00131
-3.800,13.35519,13.35355,0.00164
-3.780,16.13536,16.13339,0.00197
-3.760,18.75832,18.75603,0.00229
-3.740,20.98462,20.98206,0.00256
-3.720,22.58935,22.58660,0.00275
-3.700,23.39935,23.39651,0.00284
-3.680,23.32394,23.32111,0.00283
-3.660,22.37161,22.36889,0.00271
-3.640,20.64843,20.64592,0.00251
-3.620,18.33865,18.33642,0.00223
-3.600,15.67230,15.67039,0.00191
-3.580,12.88771,12.88614,0.00157
-3.560,10.19738,10.19613,0.00125
-3.540,7.76356,7.76261,0.00095
-3.520,5.68699,5.68629,0.00070
-3.500,4.00812,4.00762,0.00049
-3.480,2.71783,2.71749,0.00034
-3.460,1.77302,1.77280,0.00022
-3.440,1.11276,1.11262,0.00014
-3.420,0.67184,0.67176,0.00008
-3.400,0.39021,0.39016,0.00005
-3.380,0.21801,0.21798,0.00003
-3.360,0.11717,0.11716,0.00002
-3.340,0.06060,0.06058,0.00001
-3.320,0.03020,0.03019,0.00001
-3.300,0.01463,0.01460,0.00003
-3.280,0.00718,0.00711,0.00007
-3.260,0.00422,0.00407,0.00015
-3.240,0.00415,0.00380,0.00034
-3.220,0.00677,0.00603,0.00074
-3.200,0.01320,0.01166,0.00154
-3.180,0.02601,0.02294,0.00307
-3.160,0.04981,0.04394,0.00588
-3.140,0.09196,0.08112,0.01084
-3.120,0.16341,0.14417,0.01923
-3.100,0.27946,0.24662,0.03284
-3.080,0.46004,0.40609,0.05395
-3.060,0.72909,0.64377,0.08532
-3.040,1.11271,0.98281,0.12990
-3.020,1.63574,1.44530,0.19044
-3.000,2.31696,2.04803,0.26892
-2.980,3.16332,2.79744,0.36588
-2.960,4.16450,3.68472,0.47978
-2.940,5.28894,4.68232,0.60662
-2.920,6.48288,5.74304,0.73984
-2.900,7.67337,6.80258,0.87080
-2.880,8.77527,7.78563,0.98964
-2.860,9.70140,8.61485,1.08654
-2.840,10.37411,9.22100,1.15312
-2.820,10.73607,9.55249,1.18358
-2.800,10.75802,9.58243,1.17559
-2.780,10.44232,9.31183,1.13049
-2.760,9.82163,8.76866,1.05297
-2.740,8.95338,8.00309,0.95030
-2.720,7.91129,7.08010,0.83119
-2.700,6.77553,6.07087,0.70466
-2.680,5.62339,5.04436,0.57903
-2.660,4.52146,4.06037,0.46109
-2.640,3.52052,3.16480,0.35572
-2.620,2.65319,2.38741,0.26578
-2.600,1.93429,1.74207,0.19221
-2.580,1.36335,1.22887,0.13449
-2.560,0.92848,0.83750,0.09098
-2.540,0.61059,0.55112,0.05948
-2.520,0.38752,0.34998,0.03755
-2.500,0.23724,0.21436,0.02288
-2.480,0.14002,0.12657,0.01345
-2.460,0.07964,0.07201,0.00762
-2.440,0.04363,0.03947,0.00416
-2.420,0.02302,0.02083,0.00219
-2.400,0.01169,0.01058,0.00111
-2.380,0.00571,0.00517,0.00054
-2.360,0.00269,0.00243,0.00025
-2.340,0.00122,0.00110,0.00011
-2.320,0.00053,0.00048,0.00005
-2.300,0.00022,0.00020,0.00002
-2.280,0.00009,0.00008,0.00001
-2.260,0.00003,0.00003,0.00000
-2.240,0.00001,0.00001,0.00000
-2.220,0.00000,0.00000,0.00000
-2.200,0.00000,0.00000,0.00000
-2.180,0.00000,0.00000,0.00000
-2.160,0.00000,0.00000,0.00000
-2.140,0.00000,0.00000,0.00000
-2.120,0.00000,0.00000,0.00000
-2.100,0.00000,0.00000,0.00000
-2.080,0.00000,0.00000,0.00000
-2.060,0.00000,0.00000,0.00000
-2.040,0.00000,0.00000,0.00000
-2.020,0.00000,0.00000,0.00000
-2.000,0.00000,0.00000,0.00000
-1.980,0.00000,0.00000,0.00000
-1.960,0.00000,0.00000,0.00000
-1.940,0.00000,0.00000,0.00000
-1.920,0.00000,0.00000,0.00000
-1.900,0.00000,0.00000,0.00000
-1.880,0.00000,0.00000,0.00000
-1.860,0.00000,0.00000,0.00000
-1.840,0.00000,0.00000,0.00000
-1.820,0.00000,0.00000,0.00000
-1.800,0.00000,0.00000,0.00000
-1.780,0.00000,0.00000,0.00000
